Customer_ID,Age,Gender,Product_Category,Quantity,Unit_Price,Total_Sales,Purchase_Date,Payment_Method
CUST001,58,Male,Electronics,3,6726.38,20179.14,2025-03-13,Credit Card
CUST002,61,Male,Sports,4,512.94,2051.76,2025-02-17,Debit Card
CUST003,32,Male,Sports,2,5097.33,10194.66,2025-12-26,Net Banking
CUST004,44,Male,Beauty,5,1257.12,6285.6,2025-01-04,Debit Card
CUST005,62,Female,Home & Kitchen,3,1977.06,5931.18,2025-06-22,Credit Card
CUST006,23,Female,Electronics,3,21309.36,63928.08,2025-11-06,UPI
CUST007,20,Female,Sports,1,6819.88,6819.88,2025-07-13,Credit Card
CUST008,53,Female,Sports,3,4168.26,12504.78,2025-12-27,Credit Card
CUST009,20,Male,Home & Kitchen,1,8625.52,8625.52,2025-02-21,Cash
CUST010,35,Female,Home & Kitchen,2,4016.72,8033.44,2025-04-18,UPI
CUST011,62,Male,Sports,2,3878.74,7757.48,2025-05-06,Debit Card
CUST012,47,Female,Home & Kitchen,5,2586.34,12931.7,2025-06-16,Credit Card
CUST013,32,Male,Home & Kitchen,4,3043.54,12174.16,2025-04-19,Net Banking
CUST014,63,Female,Clothing,4,2159.47,8637.88,2025-11-26,Cash
CUST015,27,Female,Clothing,5,30000.0,150000.0,2025-10-03,UPI
CUST016,65,Female,Sports,4,2725.38,10901.52,2025-03-12,Net Banking
CUST017,49,Male,Electronics,1,4498.76,4498.76,2025-03-23,Cash
CUST018,56,Male,Beauty,4,2464.38,9857.52,2025-08-28,Net Banking
CUST019,34,Male,Electronics,5,18971.24,94856.2,2025-11-25,UPI
CUST020,25,Female,Beauty,2,1924.15,3848.3,2025-05-15,Net Banking
CUST021,29,Male,Home & Kitchen,5,6285.22,31426.1,2025-03-20,UPI
CUST022,28,Male,Sports,3,3573.66,10720.98,2025-02-27,UPI
CUST023,37,Male,Electronics,2,22047.83,44095.66,2025-02-10,Credit Card
CUST024,64,Female,Electronics,5,19333.19,96665.95,2025-03-07,Cash
CUST025,53,Male,Home & Kitchen,5,8788.11,43940.55,2025-08-05,Debit Card
CUST026,52,Male,Home & Kitchen,4,9953.92,39815.68,2025-11-29,UPI
CUST027,46,Female,Electronics,2,6237.68,12475.36,2025-06-23,Credit Card
